ISBN            WWU Price       Amazon Price    Difference     
9780195392531   23.50           16.78           6.72           
9781557669674   31.25           24.64           6.61           
9781580054829   10.75           4.15            6.60           
9780393924763   11.75           5.21            6.54           
9780826106025   66.75           60.22           6.53           
9781844573417   27.00           20.49           6.51           
9780312384487   6.75            0.25            6.50           
9780811221757   27.00           20.53           6.47           
9780323188197   74.25           67.83           6.42           
9780140449198   9.50            3.09            6.41           
9780872207318   9.50            3.09            6.41           
9780812971781   10.75           4.36            6.39           
9780807748343   18.25           11.87           6.38           
9781400030507   10.75           4.39            6.36           
9780205327447   70.25           63.89           6.36           
9781570614590   12.00           5.66            6.34           
9780812210354   16.75           10.43           6.32           
9780618082346   9.50            3.23            6.27           
9781571104120   16.25           9.99            6.26           
9781412998666   40.50           34.25           6.25           
9781464150760   18.50           12.29           6.21           
9780803281516   11.50           5.29            6.21           
9780916390532   7.50            1.30            6.20           
9780143122012   13.50           7.33            6.17           
9780393304510   10.00           3.84            6.16           
9780140424300   10.25           4.09            6.16           
9780812981926   10.75           4.60            6.15           
9780199536320   9.50            3.35            6.15           
9780195388909   27.00           20.87           6.13           
9780679762645   10.75           4.66            6.09           
9780062255662   10.00           3.93            6.07           
9780441007318   10.75           4.70            6.05           
9780822335139   16.25           10.25           6.00           
9781605098661   14.75           8.75            6.00           
9780759119581   15.50           9.51            5.99           
9780141439587   6.00            0.01            5.99           
9780140259490   11.50           5.51            5.99           
9780199219766   6.75            0.78            5.97           
9780312674397   6.75            0.80            5.95           
9781442225541   40.50           34.56           5.94           
9780140449440   8.75            2.84            5.91           
9780393975161   11.75           5.86            5.89           
9780300143195   17.50           11.65           5.85           
9781455509720   6.75            0.90            5.85           
9780316246620   10.75           4.91            5.84           
9781620402856   10.75           4.95            5.80           
9780140455052   10.25           4.47            5.78           
9781573223317   10.75           4.97            5.78           
9781571103895   8.50            2.73            5.77           
9780199730599   33.75           27.99           5.76           
9781442605008   18.75           12.99           5.76           
9781422118856   6.75            0.99            5.76           
9780307453433   10.75           4.99            5.76           
9780132415439   20.75           15.00           5.75           
9780192823458   10.75           5.00            5.75           
9780312428747   9.50            3.76            5.74           
9780393928617   13.25           7.51            5.74           
9780140178210   9.50            3.78            5.72           
9780915144860   5.75            0.03            5.72           
9780865477506   13.50           7.79            5.71           
9781887128599   9.50            3.81            5.69           
9780813346687   39.75           34.12           5.63           
9781476733128   11.50           5.87            5.63           
9780393335347   10.75           5.13            5.62           
9780932102164   27.00           21.46           5.54           
9780887274565   36.50           30.96           5.54           
9780195396003   39.00           33.48           5.52           
9780307476074   10.75           5.23            5.52           
9780140449150   5.50            0.01            5.49           
9780345345059   5.50            0.01            5.49           
9780064400558   5.50            0.01            5.49           
9781416936473   5.50            0.01            5.49           
9780440314882   5.50            0.01            5.49           
9780553293357   5.50            0.01            5.49           
9780141439518   5.50            0.01            5.49           
9780152052607   5.50            0.01            5.49           
9780770437794   17.50           12.04           5.46           
9780470121719   13.50           8.05            5.45           
9781582343303   10.75           5.31            5.44           
9780521612692   14.75           9.43            5.32           
9780195694208   20.25           14.95           5.30           
9780634047381   12.75           7.45            5.30           
9780857028884   40.50           35.21           5.29           
9781446258156   45.25           40.00           5.25           
9780446603775   12.25           7.00            5.25           
9780192833723   5.25            0.01            5.24           
9780872207233   10.75           5.54            5.21           
9780764143571   10.00           4.79            5.21           
9780321861276   30.25           25.06           5.19           
9780374529628   7.50            2.34            5.16           
